productId,productName,aisleId,departmentId
45613,Pad Thai,38,1
45948,Gluten Free 7 Grain Bread,112,3
46149,Zero Calorie Cola,77,7
46676,Total 0% Nonfat Greek Yogurt,120,16
46886,Raspberry Yoghurt,120,16
47144,Unsweetened Original Almond Breeze Almond Milk,91,16
47209,Organic Hass Avocado,24,4
47526,Goat Cheese Log,21,16
47553,Sugarfree Peppermint Chewing Gum,20,11
47766,Organic Avocado,24,4
47792,Organic Beans & Rice Cheddar Cheese Burrito,38,1
48099,Truffle Parmesan Macaroni & Cheese Bowl,38,1
48110,Thin Stackers Brown Rice Lightly Salted,78,19
48210,Whole Wheat Blueberry Fig Bars,48,14
48523,Birthday Cake Light Ice Cream,37,1
48775,Organic Red Cabbage,83,4
49235,Organic Half & Half,53,16
49273,Light and Lean Quinoa Black Beans with Butternut Squash and Chard,38,1
49451,Artichoke Spinach Dip,67,20
49683,Cucumber Kirby,83,4
